Jogo;Dia;Hora;Prova;SÉrie;Equipas;Pavilhão;1º Árbitro;2º Árbitro;JL;JL2
371;12/11/2022;15:00;CRINICF;A;"ESTORIL_PRAIA ""B"" - SPORTING_CP ""A""";COLÉGIO AMOR DE DEUS;PEDRO MOUTA;;;
452;12/11/2022;11:00;CRINICF;E;"ESTORIL_PRAIA ""A"" - CSJ_BRITO ""A""";COLÉGIO AMOR DE DEUS;PEDRO MOUTA;;;
37;12/11/2022;11:00;CRINICM;ÚNICA;CV_OEIRAS - CN_GINASTICA;PAV. MUN. SÃO JULIÃO DA BARRA;RODRIGO ANDRADE;;;
660;12/11/2022;15:00;CRJUVF;D;GD_SESIMBRA - CR_PIEDENSE;PAV. PISCINA SALA DESPORTOS GDS;RUI CASTANHEIRA;;;
141;12/11/2022;15:00;NSFI;A;SL_BENFICA - LEIXOES_SC;PAV. Nº2 - LUZ;RUI REIS;SERGIO PEREIRA;ANDRÉ CARVALHO;SAMUEL PATRÃO;
44;12/11/2022;19:00;NSMI;A;SL_BENFICA - VITORIA_SC;PAV. Nº2 - LUZ;SERGIO PEREIRA;RUI REIS;SAMUEL PATRÃO;ANDRÉ CARVALHO;
1273;13/11/2022;15:00;CRSFIII;B;AV_ATLÂNTICO - AM_NOGUEIRA;COLÉGIO ATLÂNTICO;ALEXANDRE RIBEIRO;;;
512;13/11/2022;15:00;CRCADF;B;EF_LENCASTRE - AD_MARISTA;ESC. FILIPA DE LENCASTRE;ANDRÉ CARVALHO;;;
584;13/11/2022;20:00;CRJUVF;A;CF_BELENENSES - SL_BENFICA;PAV. ACÁCIO ROSA - RESTELO;ANDRÉ CORREIA;;;
73;13/11/2022;14:00;CRCADM;ÚNICA;SC_TORRES - VC_SETÚBAL;Pav. SC Torres;ÂNGELO FERNANDES;;;
134;13/11/2022;15:30;CRJUVM;ÚNICA;SC_TORRES - SC_CALDAS;Pav. SC Torres;ÂNGELO FERNANDES;;;
344;13/11/2022;12:00;CRINFF;E;"VC_SETÚBAL - LUSÓFONA_VC ""B""";PAV. MUN. ARANGUEZ;BRUNO SILVA;;;
435;13/11/2022;10:00;CRINICF;D;VC_SETUBAL - TC_ALCOCHETE;PAV. MUN. ARANGUEZ;BRUNO SILVA;;;
422;13/11/2022;16:00;NSFII;A;CF_BELENENSES - DUMIENSE_FC;PAV. ACÁCIO ROSA - RESTELO;CARLOS SILVA;ANDRÉ CORREIA;;
135;13/11/2022;15:00;CRJUVM;ÚNICA;ODIVELAS_SC - CN_GINÁSTICA;ESC. SEC. BRAAMCAMP FREIRE;CARMO CORRÊA;DANIEL FERNANDES;;
74;13/11/2022;15:00;CRCADM;ÚNICA;GAMA BARROS_V. - SPORTING_CP;ESC. GAMA BARROS - CACÉM;CATARINA RODRIGUES;;;
